country,client_id
IN,6348826
FR,6751691
DE,8638448
LT,4722696
ES,2411132
VN,7562468
VN,5847642
LU,8579912
IN,3268917
US,5667904
DE,5445634
FR,8892972
FR,8496039
IT,3708993
LU,8144764
IS,2749674
MO,6413263
ES,5910976
IN,3686132
FR,6378945
LT,5560948
IS,4022950
MO,5564959
IT,3314596
DE,5704501
FR,7389423
IT,6892918
FR,1518546
MO,1154538
VN,7424228
IS,6697166
IS,4095461
MO,3071514
IN,4026263
US,2372904
LU,7914446
US,7702931
ES,2447058
MO,5222569
US,1957316
US,4172809
IT,8737313
FR,7823851
US,6111355
IS,2463310
VN,1993743
LU,3472589
IN,7401340
US,8703150
LT,4746437
IS,7181170
IT,2337911
DE,4068484
DE,2060357
IS,5561906
US,1670830
VN,7959122
ES,8422855
VN,7378091
ES,1299124
IS,3706235
LU,4800342
ES,6875378
LU,2483914
ES,2290175
US,4901595
LT,8955139
FR,1828383
US,4224032
US,5583184
MO,1419824
IT,6413955
IT,7494132
ES,6038076
LT,8144605
IT,4553421
FR,8445429
IT,2430853
LT,4847863
IT,8411229
IT,6547344
US,5118786
ES,5250522
MO,6250394
ES,3811113
FR,4579347
IN,3641767
US,7935069
MO,4456633
ES,1286513
DE,3197844
MO,8397570
VN,5541634
IN,1451768
IT,4704848
LT,5793557
LU,2699376
DE,1091102
FR,2366922
DE,1968631
IS,8316352
DE,4716265
DE,1792540
DE,4567674
LU,3748501
LU,2247741
US,6606853
ES,6926230
IS,6608030
IT,3046252
LT,8394858
LU,4746164
US,2649181
MO,4717898
LU,4409599
LU,3041719
IS,5761348
US,4181816
DE,2657898
IN,7305733
IS,5747536
IS,4622217
IT,2050541
FR,2585619
FR,1713119
MO,4042189
LT,6572400
FR,3283373
IT,4863306
IS,7610191
IS,8236251
IT,6738552
VN,8964363
ES,2481480
US,5659982
IN,5365090
ES,2988668
MO,3871289
FR,2094427
LT,6636454
LT,6620532
MO,8923721
IS,8308192
DE,3796928
ES,6767093
MO,8893142
VN,8243378
DE,6757241
MO,5803948
US,1905807
IT,3168573
DE,3371171
LT,6775970
LT,4668890
IT,6299778
LT,1823256
LU,5486704
IS,2395069
DE,1883590
ES,3428750
ES,8460152
LT,3130674
LT,5010569
ES,2314460
ES,1380525
IT,7478202
ES,6175452
LT,6992472
LU,5988694
LU,3497561
MO,4651420
LU,5346494
FR,7988351
LU,4982469
LU,6005400
LU,8026837
US,1286583
MO,3429350
LU,3566146
LU,6977768
FR,2095275
VN,8421319
MO,4784442
ES,2086906
IS,4263794
US,4941539
LT,4958276
DE,2052292
LT,5254153
MO,8527346
MO,6354641
IS,3323642
LT,3996385
US,7085636
LU,8232401
LU,7822989
IS,8180966
FR,1495116
US,8447122
IN,4197972
DE,8413766
US,4657881
US,3789500
LU,3581879
IN,4298219
DE,6762176
MO,3217023
VN,3548241
LU,3630286
IN,4195784
FR,5888008
VN,7190467
LT,6206174
FR,4011859
LU,8954153
VN,2730640
VN,8124844
MO,2410173
FR,3352461
IT,6681252
IN,1343023
US,6035098
DE,8230252
LU,6698417
IN,8671250
IT,7601922
FR,2157822
FR,7363951
FR,4293974
FR,4155197
US,8808821
US,7766606
MO,4414896
VN,2784883
FR,3103486
VN,2597807
US,6904356
LT,3670609
LU,3656797
IT,7852678
IT,4270647
IS,7012861
FR,7008119
FR,7102779
IN,2409608
VN,7173953
ES,4138721
FR,3965858
IS,3032060
DE,6847252
FR,5668405
IS,5241684
ES,3641734
MO,2942657
FR,5762221
DE,6945224
LU,5325062
IS,1226981
US,8077436
LT,3760111
FR,1734418
LU,6078016
ES,6598547
DE,2719162
US,3121328
IT,5251077
IS,8045441
MO,4527036
IS,1331085
IT,4646314
MO,4266651
IS,3426241
DE,6696620
LU,4746150
LT,4718176
VN,2475743
IT,3761589
VN,3098411
IS,2304598
IN,7820347
VN,8548764
DE,8090031
LT,3223061
LT,1806313
IN,5578670
MO,7733555
IN,6720859
US,3326782
US,6649613
MO,1109304
US,8875992
LU,3426424
US,6745585
DE,6841306
IT,3723729
VN,7577515
IT,7435490
IS,3958874
DE,2055883
ES,8847405
US,4853789
US,1737584
LT,8100988
LT,1534573
VN,1193490
FR,5968057
DE,6311446
LT,7758978
LT,6182651
LU,5606976
DE,7695350
ES,4404313
IS,4360083
LU,1538446
FR,7040912
IT,7794039
IT,6468627
VN,3503426
MO,4643710
ES,4489868
IS,2367363
VN,2775166
IT,1091444
US,5826880
LU,2484830
LU,7870525
IT,7082741
LT,1282498
DE,3549929
VN,6025408
IT,4914332
DE,2645837
IN,8904796
VN,4714791
IT,1814088
US,5772949
MO,1468616
IN,5283178
IS,5819942
ES,1289561
FR,7176752
IN,2635517
US,8885352
VN,6146660
LU,4070185
US,5779772
IS,4838800
MO,4675455
IT,6344096
IS,8460166
US,1600168
FR,3868524
VN,7624919
IT,2053822
FR,7378565
LT,8303149
US,7185188
IS,3821821
VN,2777597
IT,7981494
DE,7454905
IN,8763800
ES,5868139
DE,1953787
IN,8538420
IT,3786271
ES,1327120
DE,1641268
VN,1486587
IN,8729129
IN,7034806
MO,6407994
IN,2651197
DE,4895786
IT,4531050
IN,1171527
FR,7835943
IS,1532671
IN,3878309
US,7473056
DE,5594113
LU,5494531
IT,6287132
IS,1242140
FR,4728676
ES,4865379
IS,7205013
US,1781510
MO,6355726
LT,4903754
LT,1057513
MO,2387564
MO,6777008
IN,5575047
LT,5349384
IS,8384571
LT,2266968
IT,5435840
FR,5696888
IS,8176578
MO,8870887
DE,7668280
ES,8502509
LU,7467335
US,3399396
FR,4518260
IT,5954216
LU,1013009
IT,2145957
IT,1938028
LU,1390557
ES,2342480
FR,5708549
LU,5255625
MO,4867045
ES,7219109
MO,2551244
DE,7312798
IS,4788207
DE,3746805
IT,3268141
FR,2958723
IS,8947415
LT,2972262
IN,7042558
IS,6745763
IT,2227991
VN,2469036
LU,6950388
LT,3712168
VN,6183023
US,7233406
FR,3950035
LU,5480474
ES,2169203
US,5451870
DE,2758107
FR,2050880
IT,2369200
US,6374035
US,2121938
VN,3110001
LU,1202924
ES,6437942
IS,2834098
IT,2381204
US,2576883
VN,4654650
DE,3047604
LU,2794442
US,7358571
LT,4422206
DE,2842642
IN,8670469
FR,8442768
IN,3893397
IS,5318863
ES,5445532
LU,1765519
LU,8914205
IT,5759121
LU,7743884
IS,6915785
US,1829814
US,4625559
IT,5327713
FR,6999287
ES,8463241
ES,1402005
MO,8273076
VN,5048389
US,3612045
LT,5039492
US,1782105
FR,7471973
DE,2410993
MO,3902188
ES,8369779
LT,2476029
ES,4436015
DE,3557687
LT,6518691
DE,2671652
LU,4265504
IS,5200831
MO,8506110
VN,5400819
IS,3846293
DE,1394348
FR,4301350
LT,6724512
LT,5183342
IS,3147426
LU,3559595
DE,6329842
US,7525181
LU,1973849
LU,1719289
LU,3708129
IT,2719316
DE,6266584
LU,3400333
VN,5596049
VN,7045990
LT,8637166
ES,2340341
ES,8648769
DE,2532762
FR,1366474
ES,8852803
VN,1395159
ES,7507898
FR,6662783
MO,1673282
IT,3715843
LT,4519897
MO,5389103
DE,2319723
VN,3677787
LU,3969902
IS,5569928
DE,1763732
LT,8618190
IN,6417034
US,4018978
IN,8721724
US,2804948
LU,7306590
DE,6919109
IS,6394943
IT,1961738
LU,6418361
ES,6470379
IN,6955561
ES,4660740
VN,1186659
IS,6252928
IN,5698096
IN,3428118
IT,8479404
IT,6055518
IN,5066769
LU,7556814
LT,4198137
FR,6404918
LU,6214041
LU,8544666
DE,7773024
LT,5026943
MO,8922317
US,1702789
ES,5970666
VN,6653651
US,5813066
IN,3170754
DE,1152691
IN,4459840
VN,1543480
ES,8466098
VN,8608873
IN,8209355
FR,3052132
US,4273000
FR,5112577
FR,5792884
DE,8531706
IT,5867212
ES,6424750
IT,6374057
US,5499331
IT,5154996
IT,4214510
FR,1821162
IT,3617067
LU,4850938
IT,4860594
DE,2478876
IN,2026184
